no	effector	l1	l2	p.value
"199"	"avrRps4"	-76.409386	-73.466792	5.885188	0.207888143058583
"200"	"avrRpt2"	-50.977588	-50.36261	1.229956	0.873142360745487
"201"	"hopA1"	-91.697977	-90.265385	2.865184	0.580634014243189
"202"	"hopAA"	-76.032166	-74.087887	3.888558	0.421297925269121
"203"	"hopAB"	-86.238309	-78.532921	15.410776	0.00392085374936406
"204"	"hopAD"	-39.664812	-39.436212	0.4572	0.977531570700539
"205"	"hopAE"	-79.711518	-76.377853	6.66733	0.154547869501215
"206"	"hopAF"	-100.815911	-100.970762	-0.309702	1
"207"	"hopAG"	-66.818747	-64.615462	4.40657	0.353770049623713
"208"	"hopAH"	-55.769689	-53.962235	3.614908	0.460622714776357
"209"	"hopAI"	-60.369009	-58.171995	4.394028	0.355298587731028
"210"	"hopAL"	-53.692517	-51.465722	4.45359	0.348086030582254
"211"	"hopAM"	-52.902758	-51.818495	2.168526	0.704795432843778
"212"	"hopAO"	-69.468744	-66.727332	5.482824	0.241243394435306
"213"	"hopAQ"	-39.664812	-39.433018	0.463588	0.976947507471523
"214"	"hopAR"	-72.990154	-66.985392	12.009524	0.0172805826756364
"215"	"hopAS"	-56.806437	-54.920715	3.771444	0.43782023668212
"216"	"hopAT"	-77.775445	-75.732051	4.086788	0.394387772320935
"217"	"hopAU"	-50.368153	-49.556006	1.624294	0.804419266609568
"218"	"hopAV"	-67.008293	-64.477865	5.060856	0.281110094798219
"219"	"hopAW"	-57.535763	-55.961876	3.147774	0.533407400923324
"220"	"hopAX"	-48.062667	-47.237324	1.650686	0.799654847193685
"221"	"hopAY"	-99.399526	-96.501768	5.795516	0.214948571034009
"222"	"hopAZ"	-97.305653	-96.398297	1.814712	0.769789629307587
"223"	"hopBA"	-56.758852	-55.319437	2.87883	0.578303336962035
"224"	"hopBB"	-76.42517	-71.502106	9.846128	0.043100955298124
"225"	"hopBC"	-55.903204	-54.45012	2.906168	0.573648757022352
"226"	"hopBD"	-75.964314	-72.715449	6.49773	0.164933467849411
"227"	"hopBE"	-48.555526	-46.04828	5.014492	0.285813755201302
"228"	"hopBF"	-84.05626	-69.12096	29.8706	5.20046129452774e-06
"229"	"hopBG"	-39.624522	-39.181216	0.886612	0.926473640319052
"230"	"hopBH"	-43.955988	-43.320341	1.271294	0.866226761601143
"231"	"hopBI"	-55.395777	-54.076326	2.638902	0.619947501048766
"232"	"hopBJ"	-35.017053	-34.990815	0.052476	0.999661745879718
"233"	"hopBK"	-49.271546	-48.635447	1.272198	0.86607458331929
"234"	"hopBL"	-56.57954	-54.64754	3.864	0.424724219499964
